Job ID,Agency,Posting Type,Number Of Positions,Business Title,Civil Service Title,Title Code No,Level,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Hours/Shift,Work Location 1,Recruitment Contact,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date
208049,DEPT OF DESIGN & CONSTRUCTION,Internal,2,Deputy Director,ADMINISTRATIVE ENGINEER,10015,M1,51757,142430,Annual,30-30 Thomson Ave L I City Qns,Prog Mgmt/Eao-Executive,35 Hours,"30-30 Thomson Avenue, LIC, NY",,New York City Residency is not required for this position,11/9/2015 0:00,,11/9/2015 0:00,3/22/2016 0:00
208049,DEPT OF DESIGN & CONSTRUCTION,External,2,Deputy Director,ADMINISTRATIVE ENGINEER,10015,M1,51757,142430,Annual,30-30 Thomson Ave L I City Qns,Prog Mgmt/Eao-Executive,35 Hours,"30-30 Thomson Avenue, LIC, NY",,New York City Residency is not required for this position,11/9/2015 0:00,,11/9/2015 0:00,3/22/2016 0:00
204915,DEPT OF ENVIRONMENT PROTECTION,External,1,Assistant Engineer,ASSISTANT ENVIRONMENTAL ENGINE,20617,0,50328,75516,Annual,59-17 Junction Blvd Corona Ny,Dept of Environment Protection, , ,,New York City Residency is not required for this position,8/11/2015 0:00,,8/11/2015 0:00,3/22/2016 0:00
205095,DEPT OF DESIGN & CONSTRUCTION,External,1,Specialist Engineer,ADMINISTRATIVE ENGINEER,10015,M1,53051,145991,Annual,30-30 Thomson Ave L I City Qns,Infra-Design 1-Executive,35 Hours,"30-30 Thomson Avenue, Long Island City, NY",,New York City Residency is not required for this position,10/27/2015 0:00,,10/27/2015 0:00,3/22/2016 0:00
205095,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Specialist Engineer,ADMINISTRATIVE ENGINEER,10015,M1,53051,145991,Annual,30-30 Thomson Ave L I City Qns,Infra-Design 1-Executive,35 Hours,"30-30 Thomson Avenue, Long Island City, NY",,New York City Residency is not required for this position,10/27/2015 0:00,,10/27/2015 0:00,3/22/2016 0:00
205150,DEPT OF HEALTH/MENTAL HYGIENE,Internal,3,"Neighborhood Coordinator, District Public Health Harlem (Center for Health Equity)",COMMUNITY COORDINATOR,56058,0,47703,74049,Annual,161-169 East 110 Street,District Public Health Harlem, ,1,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/10/2015 0:00,,2/11/2016 0:00,3/22/2016 0:00
205150,DEPT OF HEALTH/MENTAL HYGIENE,External,3,"Neighborhood Coordinator, District Public Health Harlem (Center for Health Equity)",COMMUNITY COORDINATOR,56058,0,47703,74049,Annual,161-169 East 110 Street,District Public Health Harlem, ,1,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/10/2015 0:00,,2/11/2016 0:00,3/22/2016 0:00
208201,DEPARTMENT OF BUILDINGS,Internal,2,Supervising Elevator Inspector,ASSOCIATE INSPECTOR (ELEVATORS,31644,1,55139,65000,Annual,"280 Broadway, 4th Floor, N.Y.",Construction Safety/Elevators,40 Hours (Minimum),"280 Broadway, 4th Floor, N.Y.",,New York City Residency is not required for this position,8/21/2015 0:00,,8/21/2015 0:00,3/22/2016 0:00
208291,DEPT OF HEALTH/MENTAL HYGIENE,External,2,"Senior Case Manager, Bureau of Veterinary and Pest Control Services",ASSOCIATE PUBLIC HEALTH SANITA,31220,1,53130,82577,Annual,"125 Worth Street, Nyc",Pest Control Services, ,"125 Worth Street, New York, NY, 10013",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/20/2015 0:00,,12/3/2015 0:00,3/22/2016 0:00
208291,DEPT OF HEALTH/MENTAL HYGIENE,Internal,2,"Senior Case Manager, Bureau of Veterinary and Pest Control Services",ASSOCIATE PUBLIC HEALTH SANITA,31220,1,53130,82577,Annual,"125 Worth Street, Nyc",Pest Control Services, ,"125 Worth Street, New York, NY, 10013",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/20/2015 0:00,,12/3/2015 0:00,3/22/2016 0:00
208299,DEPT OF DESIGN & CONSTRUCTION,External,5,Construction Project Manager,ASSOCIATE URBAN DESIGNER,22124,2,65822,96470,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Various,35 Hours,"30-30 Thomson Avenue, LIC, NY",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",9/29/2015 0:00,,11/18/2015 0:00,3/22/2016 0:00
205188,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Laboratory Microbiologist, Bureau of Public Health Laboratory",LABORATORY MICROBIOLOGIST,21513,2,46557,63801,Annual,"455 First Ave., N.Y.",Microbiology, ,"455 First Ave., Queens, NY,  NY 10016",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/10/2015 0:00,,12/3/2015 0:00,3/22/2016 0:00
205188,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Laboratory Microbiologist, Bureau of Public Health Laboratory",LABORATORY MICROBIOLOGIST,21513,2,46557,63801,Annual,"455 First Ave., N.Y.",Microbiology, ,"455 First Ave., Queens, NY,  NY 10016",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/10/2015 0:00,,12/3/2015 0:00,3/22/2016 0:00
205292,HOUSING PRESERVATION & DVLPMNT,External,3,Multifamily Disposition and Finance Project Manager/Junior Underwriter/Analyst,CITY PLANNER,22122,1,50000,65000,Annual,100 Gold Street,Disposition Programs, ,100 Gold Street,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/11/2015 0:00,,8/11/2015 0:00,3/22/2016 0:00
205292,HOUSING PRESERVATION & DVLPMNT,Internal,3,Multifamily Disposition and Finance Project Manager/Junior Underwriter/Analyst,CITY PLANNER,22122,1,50000,65000,Annual,100 Gold Street,Disposition Programs, ,100 Gold Street,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/11/2015 0:00,,8/11/2015 0:00,3/22/2016 0:00
205470,DEPT OF ENVIRONMENT PROTECTION,External,2,ELECTRICAL ENGINEERING INTERN,ELECTRICAL ENGINEERING INTERN,20302,0,45333,54898,Annual,59-17 Junction Blvd Corona Ny,Central Brookly City Operation, , ,,New York City Residency is not required for this position,8/11/2015 0:00,,8/11/2015 0:00,3/22/2016 0:00
208299,DEPT OF DESIGN & CONSTRUCTION,Internal,5,Construction Project Manager,ASSOCIATE URBAN DESIGNER,22124,2,65822,96470,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Various,35 Hours,"30-30 Thomson Avenue, LIC, NY",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",9/29/2015 0:00,,11/18/2015 0:00,3/22/2016 0:00
208313,DEPT OF DESIGN & CONSTRUCTION,Internal,5,Design Project Manager,ARCHITECT,21215,3,79457,107720,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Various,35 Hours,"30-30 Thomson Avenue, LIC, Queens",,New York City Residency is not required for this position,9/29/2015 0:00,,9/29/2015 0:00,3/22/2016 0:00
208313,DEPT OF DESIGN & CONSTRUCTION,External,5,Design Project Manager,ARCHITECT,21215,3,79457,107720,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Various,35 Hours,"30-30 Thomson Avenue, LIC, Queens",,New York City Residency is not required for this position,9/29/2015 0:00,,9/29/2015 0:00,3/22/2016 0:00
208314,DEPT OF DESIGN & CONSTRUCTION,External,4,Construction Project Manager,CONSTRUCTION PROJECT MANAGER,34202,3,63540,107720,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Various,35 Hours,"30-30 Thomson Avenue, LIC, NY",,New York City Residency is not required for this position,9/29/2015 0:00,,9/29/2015 0:00,3/22/2016 0:00
208314,DEPT OF DESIGN & CONSTRUCTION,Internal,4,Construction Project Manager,CONSTRUCTION PROJECT MANAGER,34202,3,63540,107720,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Various,35 Hours,"30-30 Thomson Avenue, LIC, NY",,New York City Residency is not required for this position,9/29/2015 0:00,,9/29/2015 0:00,3/22/2016 0:00
205470,DEPT OF ENVIRONMENT PROTECTION,Internal,2,ELECTRICAL ENGINEERING INTERN,ELECTRICAL ENGINEERING INTERN,20302,0,45333,54898,Annual,59-17 Junction Blvd Corona Ny,Central Brookly City Operation, , ,,New York City Residency is not required for this position,8/11/2015 0:00,,8/11/2015 0:00,3/22/2016 0:00
205543,DEPT OF ENVIRONMENT PROTECTION,External,2,Civil Engineering Intern,CIVIL ENGINEERING INTERN,20202,0,45333,54898,Annual,96-05 Horace Harding Expway,Water Supply/Field Oper Mgt, ,96-05 Horace Harding Expway,,New York City Residency is not required for this position,8/11/2015 0:00,,8/11/2015 0:00,3/22/2016 0:00
205543,DEPT OF ENVIRONMENT PROTECTION,Internal,2,Civil Engineering Intern,CIVIL ENGINEERING INTERN,20202,0,45333,54898,Annual,96-05 Horace Harding Expway,Water Supply/Field Oper Mgt, ,96-05 Horace Harding Expway,,New York City Residency is not required for this position,8/11/2015 0:00,,8/11/2015 0:00,3/22/2016 0:00
205612,DEPT OF INFO TECH & TELECOMM,External,1,Senior IT Security Network Engineer,CERT. IT ADMINISTRATOR WAN,13642,4,87203,129000,Annual,"2 Metro Tech 4Th Flr, Rm 418",IT Svcs Delivery,"Day - Due to the necessary technical support duties of this position in a 24/7 operation, candidate may be required to work various shifts such as weekends and/or nights/evenings.","Brooklyn, NY",,New York City Residency is not required for this position,8/14/2015 0:00,,8/14/2015 0:00,3/22/2016 0:00
208314,DEPT OF DESIGN & CONSTRUCTION,Internal,4,Construction Project Manager,CONSTRUCTION PROJECT MANAGER,34202,3,63540,107720,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Various,35 Hours,"30-30 Thomson Avenue, LIC, NY",,New York City Residency is not required for this position,9/29/2015 0:00,,9/29/2015 0:00,3/22/2016 0:00
208315,DEPT OF DESIGN & CONSTRUCTION,External,1,Program Director,ADMINISTRATIVE PROJECT MANAGER,83008,M2,57244,152969,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Admin Supp,35 hours,30-30 Thomson Ave L I City Qns,,New York City Residency is not required for this position,8/20/2015 0:00,,9/4/2015 0:00,3/22/2016 0:00
208315,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Program Director,ADMINISTRATIVE PROJECT MANAGER,83008,M2,57244,152969,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Admin Supp,35 hours,30-30 Thomson Ave L I City Qns,,New York City Residency is not required for this position,8/20/2015 0:00,,9/4/2015 0:00,3/22/2016 0:00
208762,DEPT OF HEALTH/MENTAL HYGIENE,Internal,3,"Public Health Adviser, Optometry Program/Bureau of School Health",PUBLIC HEALTH ADVISER (SCHOOL,51195,1,19,24,Hourly,"151 Maujer St., Brooklyn",SH Vision, , ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/21/2015 0:00,,8/21/2015 0:00,3/22/2016 0:00
205612,DEPT OF INFO TECH & TELECOMM,Internal,1,Senior IT Security Network Engineer,CERT. IT ADMINISTRATOR WAN,13642,4,87203,129000,Annual,"2 Metro Tech 4Th Flr, Rm 418",IT Svcs Delivery,"Day - Due to the necessary technical support duties of this position in a 24/7 operation, candidate may be required to work various shifts such as weekends and/or nights/evenings.","Brooklyn, NY",,New York City Residency is not required for this position,8/14/2015 0:00,,8/14/2015 0:00,3/22/2016 0:00
205871,DEPT OF DESIGN & CONSTRUCTION,External,5,Design Technician,ENGINEERING TECHNICIAN,20113,3,44289,65249,Annual,30-30 Thomson Ave L I City Qns,Infra-Design-Various,35 Hours,"30-30 Thomson Avenue, LIC, NY",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",9/29/2015 0:00,,9/29/2015 0:00,3/22/2016 0:00
205871,DEPT OF DESIGN & CONSTRUCTION,Internal,5,Design Technician,ENGINEERING TECHNICIAN,20113,3,44289,65249,Annual,30-30 Thomson Ave L I City Qns,Infra-Design-Various,35 Hours,"30-30 Thomson Avenue, LIC, NY",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",9/29/2015 0:00,,9/29/2015 0:00,3/22/2016 0:00
208762,DEPT OF HEALTH/MENTAL HYGIENE,External,3,"Public Health Adviser, Optometry Program/Bureau of School Health",PUBLIC HEALTH ADVISER (SCHOOL,51195,1,19,24,Hourly,"151 Maujer St., Brooklyn",SH Vision, , ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/21/2015 0:00,,8/21/2015 0:00,3/22/2016 0:00
208962,DEPT OF HEALTH/MENTAL HYGIENE,Internal,4,"Health Inspector, Bureau of Environmental Disease and Injury Prevention",PUBLIC HEALTH SANITARIAN,31215,1,40194,46223,Annual,"125 Worth Street, Nyc",Healthy Homes Progam, ,"125 Worth Street, NY, NY 10013",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/21/2015 0:00,,8/21/2015 0:00,3/22/2016 0:00
206025,DEPT OF DESIGN & CONSTRUCTION,External,5,Project Administrator,ASSOCIATE PROJECT MANAGER,22427,1,61237,88686,Annual,30-30 Thomson Ave L I City Qns,Infra-Program Management,35 Hours,"30-30 Thomson Avenue, LIC, NY",,New York City Residency is not required for this position,9/29/2015 0:00,,9/29/2015 0:00,3/22/2016 0:00
206025,DEPT OF DESIGN & CONSTRUCTION,Internal,5,Project Administrator,ASSOCIATE PROJECT MANAGER,22427,1,61237,88686,Annual,30-30 Thomson Ave L I City Qns,Infra-Program Management,35 Hours,"30-30 Thomson Avenue, LIC, NY",,New York City Residency is not required for this position,9/29/2015 0:00,,9/29/2015 0:00,3/22/2016 0:00
206272,HOUSING PRESERVATION & DVLPMNT,Internal,2,DOI Investigator (EMP DIS) L1,INVESTIGATOR (EMPLOYEE DISCIPL,6688,1,37302,57043,Annual,80 Maiden Lane,Inspector General, ,80 Maiden Lane,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/12/2015 0:00,,8/12/2015 0:00,3/22/2016 0:00
206272,HOUSING PRESERVATION & DVLPMNT,External,2,DOI Investigator (EMP DIS) L1,INVESTIGATOR (EMPLOYEE DISCIPL,6688,1,37302,57043,Annual,80 Maiden Lane,Inspector General, ,80 Maiden Lane,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/12/2015 0:00,,8/12/2015 0:00,3/22/2016 0:00
206281,DEPT OF ENVIRONMENT PROTECTION,Internal,1,EHS Training Manager,ADMINISTRATIVE PROJECT MANAGER,83008,M1,51757,142430,Annual,59-17 Junction Blvd Corona Ny,Dept of Environment Protection, , ,,New York City Residency is not required for this position,8/21/2015 0:00,,8/21/2015 0:00,3/22/2016 0:00
208962,DEPT OF HEALTH/MENTAL HYGIENE,External,4,"Health Inspector, Bureau of Environmental Disease and Injury Prevention",PUBLIC HEALTH SANITARIAN,31215,1,40194,46223,Annual,"125 Worth Street, Nyc",Healthy Homes Progam, ,"125 Worth Street, NY, NY 10013",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/21/2015 0:00,,8/21/2015 0:00,3/22/2016 0:00
208982,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Training and Field Operations Specialist, Bureau of Environmental Disease and Injury Prevention",COMMUNITY COORDINATOR,56058,0,47703,74049,Annual,"125 Worth Street, Nyc",Injury and Violence Prevention, ,"42-09 28th Street, Queens, NY, 11101",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/21/2015 0:00,,8/21/2015 0:00,3/22/2016 0:00
208982,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Training and Field Operations Specialist, Bureau of Environmental Disease and Injury Prevention",COMMUNITY COORDINATOR,56058,0,47703,74049,Annual,"125 Worth Street, Nyc",Injury and Violence Prevention, ,"42-09 28th Street, Queens, NY, 11101",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/21/2015 0:00,,8/21/2015 0:00,3/22/2016 0:00
209036,ADMIN FOR CHILDREN'S SVCS,External,1,Director of Quality Assurance,ADMINISTRATIVE DIRECTOR OF SOC,10056,M1,51757,90276,Annual,"150 William Street, New York N",DYFJ Central, , ,,New York City Residency is not required for this position,9/1/2015 0:00,,9/1/2015 0:00,3/22/2016 0:00
206281,DEPT OF ENVIRONMENT PROTECTION,External,1,EHS Training Manager,ADMINISTRATIVE PROJECT MANAGER,83008,M1,51757,142430,Annual,59-17 Junction Blvd Corona Ny,Dept of Environment Protection, , ,,New York City Residency is not required for this position,8/21/2015 0:00,,8/21/2015 0:00,3/22/2016 0:00
206286,DEPARTMENT OF TRANSPORTATION,Internal,1,Senior Software Developer,COMPUTER SPECIALIST (SOFTWARE),13632,4,87203,120754,Annual,55 Water St Ny Ny,IT & Telecom, ,55 Water St Ny Ny,,New York City Residency is not required for this position,8/14/2015 0:00,,9/9/2015 0:00,3/22/2016 0:00
206286,DEPARTMENT OF TRANSPORTATION,External,1,Senior Software Developer,COMPUTER SPECIALIST (SOFTWARE),13632,4,87203,120754,Annual,55 Water St Ny Ny,IT & Telecom, ,55 Water St Ny Ny,,New York City Residency is not required for this position,8/14/2015 0:00,,9/9/2015 0:00,3/22/2016 0:00
206302,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Public Health Advisor, Bureau of School Health",PUBLIC HEALTH ADVISER (SCHOOL,51195,2,23,29,Hourly,485 Throop Ave Brooklyn,SH Reproductive Health, ,485 Throop Ave Brooklyn,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/20/2015 0:00,,8/20/2015 0:00,3/22/2016 0:00
209036,ADMIN FOR CHILDREN'S SVCS,Internal,1,Director of Quality Assurance,ADMINISTRATIVE DIRECTOR OF SOC,10056,M1,51757,90276,Annual,"150 William Street, New York N",DYFJ Central, , ,,New York City Residency is not required for this position,9/1/2015 0:00,,9/1/2015 0:00,3/22/2016 0:00
209037,DEPT OF ENVIRONMENT PROTECTION,External,1,Clerical Associate (Part-Time),CLERICAL ASSOCIATE,10251,1,25997,42117,Annual,96-05 Horace Harding Expway,W   S/Connections Permitting, ,96-05 Horace Harding Expway,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/31/2015 0:00,,8/31/2015 0:00,3/22/2016 0:00
209037,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Clerical Associate (Part-Time),CLERICAL ASSOCIATE,10251,1,25997,42117,Annual,96-05 Horace Harding Expway,W   S/Connections Permitting, ,96-05 Horace Harding Expway,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/31/2015 0:00,,8/31/2015 0:00,3/22/2016 0:00
209039,ADMIN FOR CHILDREN'S SVCS,Internal,8,Quality Improvement Specialist,ADMINISTRATIVE STAFF ANALYST (,1002A,0,56937,88649,Annual,"150 William Street, New York N",DYFJ Central, , ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",9/1/2015 0:00,,9/1/2015 0:00,3/22/2016 0:00
206302,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Public Health Advisor, Bureau of School Health",PUBLIC HEALTH ADVISER (SCHOOL,51195,2,23,29,Hourly,485 Throop Ave Brooklyn,SH Reproductive Health, ,485 Throop Ave Brooklyn,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/20/2015 0:00,,8/20/2015 0:00,3/22/2016 0:00
206314,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Facility Manager-Bureau of Operations: District Operations,HEALTH SERVICES MANAGER,10069,M1,51757,142430,Annual,"158 E 115Th St., N.Y.",Operations, ,"158 E 115Th St., N.Y.",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/14/2015 0:00,,8/14/2015 0:00,3/22/2016 0:00
206314,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Facility Manager-Bureau of Operations: District Operations,HEALTH SERVICES MANAGER,10069,M1,51757,142430,Annual,"158 E 115Th St., N.Y.",Operations, ,"158 E 115Th St., N.Y.",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/14/2015 0:00,,8/14/2015 0:00,3/22/2016 0:00
206327,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Personnel Coordinator, Family and Child Health Administration",PRINCIPAL ADMINISTRATIVE ASSOC,10124,2,46782,68003,Annual,42-09 28th Street,FCH Administration, ,"42-09 28th St. Queens, NY, 11101",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/12/2015 0:00,,8/12/2015 0:00,3/22/2016 0:00
209039,ADMIN FOR CHILDREN'S SVCS,External,8,Quality Improvement Specialist,ADMINISTRATIVE STAFF ANALYST (,1002A,0,56937,88649,Annual,"150 William Street, New York N",DYFJ Central, , ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",9/1/2015 0:00,,9/1/2015 0:00,3/22/2016 0:00
209042,DEPT OF ENVIRONMENT PROTECTION,External,1,"Chief of Site Connection, Green Infrastructure & Plan Review",ADMINISTRATIVE ENGINEER,10015,M3,63519,169427,Annual,96-05 Horace Harding Expway,Rev Construction Compliance, , ,,New York City Residency is not required for this position,8/31/2015 0:00,,8/31/2015 0:00,3/22/2016 0:00
209042,DEPT OF ENVIRONMENT PROTECTION,Internal,1,"Chief of Site Connection, Green Infrastructure & Plan Review",ADMINISTRATIVE ENGINEER,10015,M3,63519,169427,Annual,96-05 Horace Harding Expway,Rev Construction Compliance, , ,,New York City Residency is not required for this position,8/31/2015 0:00,,8/31/2015 0:00,3/22/2016 0:00
209043,ADMIN FOR CHILDREN'S SVCS,Internal,3,Field Operations for Placement Liaison,COMMUNITY COORDINATOR,56058,0,47703,63086,Annual,"150 William Street, New York N",DYFJ Central, , ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",9/1/2015 0:00,,9/1/2015 0:00,3/22/2016 0:00
209043,ADMIN FOR CHILDREN'S SVCS,External,3,Field Operations for Placement Liaison,COMMUNITY COORDINATOR,56058,0,47703,63086,Annual,"150 William Street, New York N",DYFJ Central, , ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",9/1/2015 0:00,,9/1/2015 0:00,3/22/2016 0:00
